epoch,accuracy,loss
0,0.63392701,0.654963086
1,0.814469337,0.424308449
2,0.881840825,0.283391356
3,0.917703152,0.209928527
4,0.934286892,0.177722469
5,0.933043122,0.18086198
6,0.932421207,0.171086043
7,0.950870633,0.140927613
8,0.947553873,0.148232177
9,0.947553873,0.139204562
0,0.915422857,0.219327733
1,0.933043122,0.172887728
2,0.946724713,0.146728501
3,0.946724713,0.143956065
4,0.950663328,0.133571818
5,0.955016613,0.126801684
6,0.961442769,0.112983726
7,0.962064683,0.107929327
8,0.965795994,0.101285487
9,0.967247069,0.099307679
0,0.960613608,0.11652942
1,0.966210604,0.106312148
2,0.959577143,0.116493203
3,0.965588748,0.095395245
4,0.967661679,0.093982875
5,0.969320059,0.091134943
6,0.966210604,0.093152575
7,0.970978439,0.082407996
8,0.971600354,0.083586201
9,0.967868984,0.090118483
0,0.969527364,0.091110386
1,0.972222209,0.082905956
2,0.977197349,0.076517269
3,0.974917054,0.077849798
4,0.974709809,0.077058665
5,0.973051429,0.078242905
6,0.976990044,0.064579666
7,0.976160884,0.071554899
8,0.971393049,0.082936093
9,0.979684889,0.064056121
0,0.979684889,0.066260368
1,0.980721414,0.060392566
2,0.979892194,0.065618344
3,0.967454374,0.09522973
4,0.972844124,0.079394124
5,0.977404654,0.065963015
6,0.974502504,0.069590911
7,0.981343269,0.061503202
8,0.981550574,0.055555124
9,0.981757879,0.051742464
0,0.979063034,0.058859266
1,0.982587039,0.0533011
2,0.983830869,0.046521962
3,0.98424542,0.045031589
4,0.984660029,0.044523478
5,0.985074639,0.041739907
6,0.981550574,0.049004175
7,0.986318409,0.039420955
8,0.990049779,0.032583285
9,0.990049779,0.032833319
0,0.984038115,0.048967939
1,0.981550574,0.055028893
2,0.989427865,0.03765941
3,0.98714757,0.044670079
4,0.984867334,0.044957414
5,0.975538969,0.065809384
6,0.981757879,0.052735601
7,0.980099499,0.057813324
8,0.983830869,0.040136401
9,0.985489249,0.039727043
0,0.98424542,0.043813772
1,0.987354875,0.037804887
2,0.984038115,0.042005781
3,0.98880595,0.031312265
4,0.98963517,0.027024716
5,0.98963517,0.028883895
6,0.991086245,0.028173305
7,0.990257025,0.024942078
8,0.987769485,0.036578704
9,0.988184094,0.029892929
0,0.982172489,0.050790992
1,0.986111104,0.046358708
2,0.98756218,0.031533662
3,0.988391399,0.034739986
4,0.9859038,0.041103255
5,0.988184094,0.032971784
6,0.986525714,0.046247005
7,0.981757879,0.050583974
8,0.988391399,0.031986535
9,0.99087894,0.029911833
0,0.982794344,0.049819686
1,0.989427865,0.0282383
2,0.992744625,0.020404676
3,0.984660029,0.04297138
4,0.982172489,0.051346738
5,0.983416259,0.043273322
6,0.99212271,0.022001276
7,0.99253732,0.020959947
8,0.994403005,0.019279158
9,0.994403005,0.015952149
