Round,Accuracy,Loss,Precision,Recall,F1-score
1,0.949553873,0.139204562,0.971538462,0.979198697,0.959305331
2,0.967247069,0.099307679,0.987012987,0.990228013,0.988617886
3,0.967868984,0.090118483,0.98392283,0.996742671,0.990291262
4,0.979684889,0.064056121,0.968454259,1,0.983974359
5,0.981757879,0.051742464,0.987138264,1,0.993527508
6,0.990049779,0.032833319,0.987012987,0.990228013,0.988617886
7,0.985489249,0.039727043,0.987138264,1,0.993527508
9,0.988184094,0.029892929,0.977635783,0.996742671,0.987096774
10,0.99087894,0.029911833,0.99025974,0.993485342,0.991869919
Average,0.994403005,0.015952149,0.990291262,0.996742671,0.993506494
