epoch,accuracy,loss
0,0.9506633281707764,0.12856917083263397
1,0.96517413854599,0.1039375364780426
2,0.9747098088264465,0.07677695155143738
3,0.9776119589805603,0.07575174421072006
4,0.9759535789489746,0.07445579767227173
5,0.9838308691978455,0.05393724516034126
6,0.9879767894744873,0.0378493070602417
7,0.9846600294113159,0.05128341540694237
8,0.975538969039917,0.0685107484459877
9,0.985903799533844,0.04881701618432999
0,0.9742951989173889,0.06689102947711945
1,0.9834162592887878,0.05149265006184578
2,0.9805141091346741,0.057805102318525314
3,0.9888059496879578,0.038675516843795776
4,0.9879767894744873,0.03595131263136864
5,0.9875621795654297,0.031168796122074127
6,0.989635169506073,0.03849506750702858
7,0.9933664798736572,0.026380881667137146
8,0.9929519295692444,0.02065383829176426
9,0.9925373196601868,0.020783858373761177
0,0.985903799533844,0.045955006033182144
1,0.985903799533844,0.039182450622320175
2,0.9875621795654297,0.03823769465088844
3,0.9917080998420715,0.028503140434622765
4,0.9946103096008301,0.02078765630722046
5,0.9925373196601868,0.026645122095942497
6,0.9941956996917725,0.018109062686562538
7,0.9933664798736572,0.01943351700901985
8,0.9917080998420715,0.02535713091492653
9,0.9929519295692444,0.02155802957713604
0,0.9883913993835449,0.03492705523967743
1,0.9933664798736572,0.02034064009785652
2,0.9937810897827148,0.020733270794153214
3,0.9950248599052429,0.019453788176178932
4,0.9917080998420715,0.028403792530298233
5,0.9958540797233582,0.014873121865093708
6,0.9970978498458862,0.009997598826885223
7,0.996268630027771,0.016863945871591568
8,0.996268630027771,0.013315726071596146
9,0.9904643297195435,0.032867517322301865
0,0.9883913993835449,0.03672318905591965
1,0.9958540797233582,0.017393101006746292
2,0.9937810897827148,0.021955056115984917
3,0.996268630027771,0.014278273098170757
4,0.9970978498458862,0.009982064366340637
5,0.9954394698143005,0.01655598357319832
6,0.996268630027771,0.022032015025615692
7,0.9966832399368286,0.01148742251098156
8,0.9970978498458862,0.012987700290977955
9,0.9975124597549438,0.0064507462084293365
0,0.9921227097511292,0.02784864977002144
1,0.9937810897827148,0.017803864553570747
2,0.9966832399368286,0.009808107279241085
3,0.9970978498458862,0.008504810743033886
4,0.9970978498458862,0.008898298256099224
5,0.9991708397865295,0.005020598415285349
6,0.9970978498458862,0.009823072701692581
7,0.9937810897827148,0.03004458174109459
8,0.9958540797233582,0.01793101243674755
9,0.9979270100593567,0.008071529679000378
0,0.9929519295692444,0.030188921838998795
1,0.9975124597549438,0.010234517976641655
2,0.9983416199684143,0.009327476844191551
3,0.996268630027771,0.01279100775718689
4,0.9966832399368286,0.014159011654555798
5,0.9975124597549438,0.00875942688435316
6,0.9950248599052429,0.01248555351048708
7,0.9983416199684143,0.006933292374014854
8,0.9991708397865295,0.002783906413242221
9,0.9995853900909424,0.0014788230182603002
0,0.9929519295692444,0.02318509668111801
1,0.9983416199684143,0.008235040120780468
2,0.9966832399368286,0.010590245015919209
3,0.9991708397865295,0.0035151687916368246
4,0.9991708397865295,0.003742612898349762
5,0.9991708397865295,0.002203664742410183
6,0.9995853900909424,0.0014911232283338904
7,0.9929519295692444,0.0272988248616457
8,0.9975124597549438,0.006582104600965977
9,0.9983416199684143,0.006184057332575321
0,0.9946103096008301,0.022128358483314514
1,0.9979270100593567,0.007582569494843483
2,0.9987562298774719,0.004391254857182503
3,0.9983416199684143,0.007174415979534388
4,0.9995853900909424,0.002111331094056368
5,0.9979270100593567,0.00455984054133296
6,0.9950248599052429,0.01794375665485859
7,0.996268630027771,0.011849306523799896
8,0.9983416199684143,0.0031449119560420513
9,1.0,0.0007822052575647831
