Round,Accuracy,Loss,Precision,Recall,F1-score
1,0.9859038,0.048817016,0.973244147,0.947882736,0.96039604
2,0.99253732,0.020783858,0.96763754,0.973941368,0.970779221
3,0.99295193,0.02155803,0.973684211,0.964169381,0.968903437
4,0.99046433,0.032867517,0.986710963,0.96742671,0.976973684
5,0.99751246,0.006450746,0.983660131,0.980456026,0.982055465
6,0.99792701,0.00807153,0.990033223,0.970684039,0.980263158
7,0.99958539,0.001478823,0.993311037,0.96742671,0.98019802
8,0.99834162,0.006184057,0.98679868,0.973941368,0.980327869
9,1,0.000782205,0.990163934,0.983713355,0.986928105
10,1,0.000682205,0.990003934,0.982113355,0.988728105
