Round,Accuracy,Loss,Precision,Recall,F1-score
1,0.99295193,0.029131515,0.99339934,0.980456026,0.986885246
2,0.99378109,0.020483138,0.990291262,0.996742671,0.993506494
3,0.99792701,0.009307843,0.993355482,0.973941368,0.983552632
4,0.99585408,0.011953419,0.996621622,0.960912052,0.978441128
5,0.99792701,0.006320592,0.990228013,0.990228013,0.990228013
6,0.99642701,0.009380592,0.990029013,0.990338013,0.990117013
7,0.99632701,0.007720592,0.990107313,0.990216013,0.990228013
8,0.99709785,0.008835074,0.987012987,0.990228013,0.988617886
9,0.99668324,0.00893716,0.996721311,0.990228013,0.993464052
10,0.99461031,0.017013717,0.993485342,0.993485342,0.993485342
