Round,Accuracy,Loss,Precision,Recall,F1-score
1,0.99212271,0.021990748,0.986970684,0.986970684,0.986970684
2,0.99709785,0.011813529,0.965189873,0.993485342,0.979133226
3,0.99461031,0.018858699,0.993442623,0.986970684,0.990196078
4,0.99626863,0.008588916,0.990291262,0.996742671,0.993506494
5,0.99917084,0.001777976,0.990291262,0.996742671,0.993506494
6,0.99875623,0.003452927,0.993485342,0.993485342,0.993485342
7,1,7.77E-05,0.993485342,0.993485342,0.993485342
8,1,0.000101405,0.993406494,0.995742671,0.995321951
9,1,0.000103405,0.993506494,0.996742671,0.995121951
10,1,7.21E-05,0.993527508,1,0.996753247
