Round,Accuracy,Loss,Precision,Recall,F1-score
1,0.99253732,0.029211313,0.96835443,0.996742671,0.982343499
2,0.99378109,0.01983371,0.97133758,0.993485342,0.982286634
3,0.99709785,0.010968534,0.971428571,0.996742671,0.98392283
4,0.99751246,0.008630324,0.97133758,0.993485342,0.982286634
5,0.99851246,0.004630324,0.97033758,0.992385342,0.982686632
6,0.99651246,0.002630324,0.97133758,0.992185342,0.982286635
7,0.99502486,0.013791997,0.977635783,0.996742671,0.987096774
8,0.99875623,0.002572151,0.987012987,0.990228013,0.988617886
9,0.99751246,0.007219984,0.980263158,0.970684039,0.975450082
10,0.99875623,0.002133665,0.987055016,0.993485342,0.99025974
