Round,Accuracy,Loss,Precision,Recall,F1-score
1,0.975124359,0.079852484,0.946540881,0.980456026,0.9632
2,0.98963517,0.033451106,0.977564103,0.993485342,0.98546042
3,0.98963517,0.031056307,0.97133758,0.993485342,0.982286634
4,0.98963517,0.031746227,0.980769231,0.996742671,0.988691438
5,0.99668324,0.009567567,0.993485342,0.993485342,0.993485342
6,0.99502486,0.015120362,0.990291262,0.996742671,0.993506494
7,0.99751246,0.006902852,0.98392283,0.996742671,0.990291262
8,1,0.000411439,0.99025974,0.993485342,0.991869919
9,0.99626863,0.008352596,0.974522293,0.996742671,0.985507246
10,1,0.000550121,0.987096774,0.996742671,0.991896272
