Round,Accuracy,Loss,Precision,Recall,F1-score
1,0.981343269,0.055352546,0.974110032,0.980456026,0.977272727
2,0.986733019,0.035250053,0.958730159,0.983713355,0.971061093
3,0.99295193,0.019388016,0.983713355,0.983713355,0.983713355
4,0.99378109,0.018216498,0.990066225,0.973941368,0.981937603
5,0.99751246,0.008862292,0.977491961,0.990228013,0.98381877
6,0.99585408,0.009053415,0.980707395,0.993485342,0.987055016
7,0.99087894,0.025686961,0.980456026,0.980456026,0.980456026
8,0.99709785,0.008095286,0.980769231,0.996742671,0.988691438
9,0.99917084,0.002432706,0.983870968,0.993485342,0.988654781
10,1,0.002432706,0.993870968,0.998485342,0.989654781
