Round,Accuracy,Loss,Precision,Recall,F1-score
1,0.983830869,0.048244905,0.996515679,0.931596091,0.962962963
2,0.99212271,0.019778751,0.99339934,0.980456026,0.986885246
3,0.99585408,0.011460626,0.971153846,0.986970684,0.978998384
4,0.99626863,0.008800709,0.993288591,0.964169381,0.978512397
5,0.9941957,0.019494703,0.993377483,0.977198697,0.985221675
6,0.99675623,0.004906632,0.993321053,0.982713355,0.988543372
7,0.99875623,0.003906632,0.993421053,0.983713355,0.988543372
8,1,0.000836334,0.99339934,0.980456026,0.986885246
9,0.99709785,0.008336985,0.993377483,0.977198697,0.985221675
10,1,7.42E-05,0.996677741,0.977198697,0.986842105
