Round,Accuracy,Loss,Precision,Recall,F1-score
1,0.99626863,0.014109951,0.977635783,0.996742671,0.987096774
2,0.99336648,0.016800381,0.986928105,0.983713355,0.985318108
3,0.99709785,0.008800561,0.987055016,0.993485342,0.99025974
4,0.99917084,0.005599475,0.993485342,0.993485342,0.993485342
5,0.99907084,0.004599475,0.992485342,0.991485342,0.997485342
6,0.99907084,0.004599475,0.992485342,0.991485342,0.995485342
7,0.99295193,0.020819403,1,0.986970684,0.993442623
8,0.99585408,0.011671465,0.990322581,1,0.995137763
9,0.99958539,0.001462003,0.996732026,0.993485342,0.995106036
10,1,0.000910331,0.993485342,0.993485342,0.993485342
