Round,Accuracy,Loss,Precision,Recall,F1-score
1,0.963930368,0.09648671,0.98019802,0.96742671,0.973770492
2,0.988391399,0.03877788,0.99009901,0.977198697,0.983606557
3,0.99336648,0.02290565,0.986970684,0.986970684,0.986970684
4,0.990049779,0.028353006,0.993442623,0.986970684,0.990196078
5,0.99668324,0.008451195,0.990228013,0.990228013,0.990228013
6,0.99709785,0.006034885,0.993442623,0.986970684,0.990196078
7,0.99834162,0.005668721,0.993464052,0.990228013,0.991843393
8,0.99958539,0.001587618,0.996710526,0.986970684,0.991816694
9,0.99834162,0.00379773,1,0.980456026,0.990131579
10,0.99958539,0.001468272,1,0.980456026,0.990131579
